date,commodity,ticker,price,high_30d,low_30d,volatility,demand,supply
2026-04-29,Wheat,WHEAT,2230,2250,2050,3.8,73,55
2026-04-30,Wheat,WHEAT,2220,2250,2050,3.7,72,56
2026-05-01,Wheat,WHEAT,2210,2250,2050,3.6,71,57
2026-05-02,Wheat,WHEAT,2200,2250,2050,3.5,70,58
2026-05-03,Wheat,WHEAT,2190,2250,2050,3.4,69,59
2026-05-04,Wheat,WHEAT,2180,2250,2050,3.3,68,60
2026-05-05,Wheat,WHEAT,2170,2250,2050,3.2,67,61
2026-05-06,Wheat,WHEAT,2160,2250,2050,3.1,66,62
2026-05-07,Wheat,WHEAT,2150,2250,2050,3.0,65,63
2026-05-08,Wheat,WHEAT,2140,2250,2050,2.9,64,64
2026-05-09,Wheat,WHEAT,2130,2250,2050,2.8,63,65
2026-05-10,Wheat,WHEAT,2120,2250,2050,2.7,62,66
2026-05-11,Wheat,WHEAT,2110,2250,2050,2.6,61,67
2026-05-12,Wheat,WHEAT,2100,2250,2050,2.5,60,68
2026-04-12,Cotton,COTTON,5800,6200,5500,4.2,75,70
2026-04-13,Cotton,COTTON,5820,6200,5500,4.2,76,69
2026-04-14,Cotton,COTTON,5840,6200,5500,4.3,77,68
2026-04-15,Cotton,COTTON,5860,6200,5500,4.3,78,67
2026-04-16,Cotton,COTTON,5880,6200,5500,4.4,79,66
2026-04-17,Cotton,COTTON,5900,6200,5500,4.5,80,65
2026-04-18,Cotton,COTTON,5920,6200,5500,4.5,81,64
2026-04-19,Cotton,COTTON,5940,6200,5500,4.6,82,63
2026-04-20,Cotton,COTTON,5960,6200,5500,4.7,82,62
2026-04-21,Cotton,COTTON,5980,6200,5500,4.8,82,61
2026-04-22,Cotton,COTTON,6000,6200,5500,4.9,81,60
2026-04-23,Cotton,COTTON,6020,6200,5500,5.0,80,59
2026-04-24,Cotton,COTTON,6040,6200,5500,5.1,79,58
2026-04-25,Cotton,COTTON,6060,6200,5500,5.2,78,57
2026-04-26,Cotton,COTTON,6080,6200,5500,5.2,77,56
2026-04-27,Cotton,COTTON,6100,6200,5500,5.2,76,55
2026-04-28,Cotton,COTTON,6120,6200,5500,5.1,75,54
2026-04-29,Cotton,COTTON,6140,6200,5500,5.0,74,53
2026-04-30,Cotton,COTTON,6160,6200,5500,4.9,73,52
2026-05-01,Cotton,COTTON,6150,6200,5500,4.8,72,53
2026-05-02,Cotton,COTTON,6140,6200,5500,4.7,71,54
2026-05-03,Cotton,COTTON,6130,6200,5500,4.6,70,55
2026-05-04,Cotton,COTTON,6120,6200,5500,4.5,69,56
2026-05-05,Cotton,COTTON,6110,6200,5500,4.4,68,57
2026-05-06,Cotton,COTTON,6100,6200,5500,4.3,67,58
2026-05-07,Cotton,COTTON,6090,6200,5500,4.2,66,59
2026-05-08,Cotton,COTTON,6080,6200,5500,4.1,65,60
2026-05-09,Cotton,COTTON,6070,6200,5500,4.0,64,61
2026-05-10,Cotton,COTTON,6060,6200,5500,3.9,63,62
2026-05-11,Cotton,COTTON,6050,6200,5500,3.8,62,63
2026-05-12,Cotton,COTTON,6040,6200,5500,3.7,61,64
